Districts_N,Area,Category_N,Crop-N,Year,Max_Temp,Min_Temp,Rainfall, Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
2,393125,3,2,1979,34.4,25.95,600.5,89,1.55,5.85,5.4,41950,536809.8,510151.9,22.7,90.36,4,114095
2,409860,3,2,1980,34.05,26.2,411.5,90,1.4,5.85,4.35,41950,536809.8,510151.9,22.7,90.36,4,145590
2,314540,3,2,1981,32.7,25.55,369,89.5,1.2,6,3.6,41950,536809.8,510151.9,22.7,90.36,4,101455
2,342135,3,2,1982,33.05,25.75,408,87.5,1.5,5.9,4.8,41950,536809.8,510151.9,22.7,90.36,4,110610
2,365275,3,2,1983,33.85,25.95,487,87.5,1.3,6.15,3.7,41950,536809.8,510151.9,22.7,90.36,4,122785
2,363610,3,2,1984,34,25.25,439.5,90,1.2,7,3.85,41950,536809.8,510151.9,22.7,90.36,4,89615
2,403025,3,2,1985,34.75,25.6,299.5,91.5,1.5,6.75,4.25,41950,536809.8,510151.9,22.7,90.36,4,116620
2,432560,3,2,1986,35.35,25.6,316.5,89,0.8,6.15,4.45,41950,536809.8,510151.9,22.7,90.36,4,155940
2,485755,3,2,1987,33.9,25.4,625.5,92,0.9,6.7,2.7,41950,536809.8,510151.9,22.7,90.36,4,19000
2,508280,3,2,1988,32.95,26.05,440.5,90.5,1.3,6.8,3.4,41950,536809.8,510151.9,22.7,90.36,4,184970
2,414465,3,2,1989,33.15,25.4,328,88.5,1.15,6,4.6,41950,536809.8,510151.9,22.7,90.36,4,170475
2,416100,3,2,1990,33.25,25.5,378,89.5,1,6.25,4.45,41950,536809.8,510151.9,22.7,90.36,4,162920
2,417080,3,2,1991,34.4,25.5,362.5,88.5,1.35,6.6,4.05,41950,536809.8,510151.9,22.7,90.36,4,159420
2,417080,3,2,1992,34.9,25.4,312.5,90.5,1.25,6.5,3.6,41950,536809.8,510151.9,22.7,90.36,4,159420
2,319310,3,2,1993,33.5,25.6,482,90.5,1.8,6.5,3.7,41950,536809.8,510151.9,22.7,90.36,4,97140
2,331070,3,2,1994,33.1,25.55,290,88,1.2,6.4,4.2,41950,536809.8,510151.9,22.7,90.36,4,109860
2,347990,3,2,1995,34.35,25.3,429.5,87.5,1.3,6.35,4.35,41950,536809.8,510151.9,22.7,90.36,4,101320
2,326310,3,2,1996,34.7,25.5,314.5,89.5,1.3,5.95,2.95,41950,536809.8,510151.9,22.7,90.36,4,98660
2,304890,3,2,1997,34.65,25.6,298.5,90,1.5,6.65,3.75,41950,536809.8,510151.9,22.7,90.36,4,105950
2,305960,3,2,1998,34.5,25.15,566,91.5,1.4,6.55,2.35,41950,536809.8,510151.9,22.7,90.36,4,98670
2,273550,3,2,1999,34,25.25,465.5,91,1.5,7.05,2.75,41950,536809.8,510151.9,22.7,90.36,4,119260
2,270140,3,2,2000,34.85,25.45,296,87.5,1.6,6.5,3.7,41950,536809.8,510151.9,22.7,90.36,4,125840
2,295810,3,2,2001,33.35,25.65,373.5,89,1.65,6.6,4.3,41950,536809.8,510151.9,22.7,90.36,4,145310
2,283260,3,2,2002,34.25,25.95,494,89.5,1.05,6.85,3.85,41950,536809.8,510151.9,22.7,90.36,4,130790
2,287570,3,2,2003,34.2,26.6,214.5,89.5,1.35,6.3,5.3,41950,536809.8,510151.9,22.7,90.36,4,128600
2,285810,3,2,2004,33.6,26,359.5,88.5,1.5,6.8,3.75,41950,536809.8,510151.9,22.7,90.36,4,120430
2,248320,3,2,2005,34.35,26.05,382.5,93,1.1,6.75,3.7,41950,536809.8,510151.9,22.7,90.36,4,123534
2,50675,3,2,2006,33.6,26.05,381,90,1.5,6.8,4.1,41950,536809.8,510151.9,22.7,90.36,4,27418
2,51660,3,2,2007,34.25,26.15,389,89.5,1.05,6.6,3.35,41950,536809.8,510151.9,22.7,90.36,4,25932
2,57680,3,2,2008,33.45,26,453.5,89,1,6.6,3.45,41950,536809.8,510151.9,22.7,90.36,4,30331
2,47615,3,2,2009,35,26.15,530,89,2.55,6.65,3.85,41950,536809.8,510151.9,22.7,90.36,4,30582
2,47986,3,2,2010,34.75,26.75,203.5,87,1.75,6.1,4.8,41950,536809.8,510151.9,22.7,90.36,4,28905
2,51687,3,2,2011,35.3,26.15,371,88.5,2.95,6.2,4.1,41950,536809.8,510151.9,22.7,90.36,4,29050
2,52319,3,2,2012,34.4,26.35,272.5,88,2,6.7,4.4,41950,536809.8,510151.9,22.7,90.36,4,27856
2,48551,3,2,2013,33.5,26.35,387.5,87.5,2.8,6.4,4.35,41950,536809.8,510151.9,22.7,90.36,4,23912
2,48000,2,2,1979,34.4,25.95,600.5,89,1.55,5.85,5.4,41950,536809.8,510151.9,22.7,90.36,4,44085
2,85135,2,2,1980,34.05,26.2,411.5,90,1.4,5.85,4.35,41950,536809.8,510151.9,22.7,90.36,4,80285
2,60340,2,2,1981,32.7,25.55,369,89.5,1.2,6,3.6,41950,536809.8,510151.9,22.7,90.36,4,44600
2,69975,2,2,1982,33.05,25.75,408,87.5,1.5,5.9,4.8,41950,536809.8,510151.9,22.7,90.36,4,59665
2,77000,2,2,1983,33.85,25.95,487,87.5,1.3,6.15,3.7,41950,536809.8,510151.9,22.7,90.36,4,66280
2,75850,2,2,1984,34,25.25,439.5,90,1.2,7,3.85,41950,536809.8,510151.9,22.7,90.36,4,55352
2,75850,2,2,1985,34.75,25.6,299.5,91.5,1.5,6.75,4.25,41950,536809.8,510151.9,22.7,90.36,4,55345
2,85530,2,2,1986,35.35,25.6,316.5,89,0.8,6.15,4.45,41950,536809.8,510151.9,22.7,90.36,4,59665
2,90530,2,2,1987,33.9,25.4,625.5,92,0.9,6.7,2.7,41950,536809.8,510151.9,22.7,90.36,4,73870
2,37135,2,2,1988,32.95,26.05,440.5,90.5,1.3,6.8,3.4,41950,536809.8,510151.9,22.7,90.36,4,27855
2,34410,2,2,1989,33.15,25.4,328,88.5,1.15,6,4.6,41950,536809.8,510151.9,22.7,90.36,4,25855
2,24480,2,2,1990,33.25,25.5,378,89.5,1,6.25,4.45,41950,536809.8,510151.9,22.7,90.36,4,18590
2,20250,2,2,1991,34.4,25.5,362.5,88.5,1.35,6.6,4.05,41950,536809.8,510151.9,22.7,90.36,4,10340
2,20250,2,2,1992,34.9,25.4,312.5,90.5,1.25,6.5,3.6,41950,536809.8,510151.9,22.7,90.36,4,10340
2,34870,2,2,1993,33.5,25.6,482,90.5,1.8,6.5,3.7,41950,536809.8,510151.9,22.7,90.36,4,24520
