Districts_N,Area,Category_N,Crop_N,Year,Max_Temp,Min_Temp,Rainfall, Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
2,9130,3,4,1981,34.1,23.025,310,82.5,1.125,4.7,6.225,41950,536809.8,510151.9,22.7,90.36,4,16045
2,7185,3,4,1982,36.1,23.35,181.25,78.25,1.1,3.825,8.025,41950,536809.8,510151.9,22.7,90.36,4,12405
2,6970,3,4,1983,35.675,23.55,180,79.75,1.55,3.9,7.75,41950,536809.8,510151.9,22.7,90.36,4,13380
2,6690,3,4,1984,35.825,23.5,352.75,82.75,1.55,4.675,6.675,41950,536809.8,510151.9,22.7,90.36,4,11715
2,3663,3,4,1985,36.125,24.25,164.25,85.25,1.725,4.925,6.925,41950,536809.8,510151.9,22.7,90.36,4,6616
2,6229,3,4,1986,36.65,23.3,136,81.25,1.125,3.775,7.4,41950,536809.8,510151.9,22.7,90.36,4,11989
2,8870,3,4,1987,37.725,23.7,132.25,81.5,1.2,4.125,7.3,41950,536809.8,510151.9,22.7,90.36,4,15630
2,7960,3,4,1988,35.325,24.075,279.75,82,1.1,4.65,6.55,41950,536809.8,510151.9,22.7,90.36,4,238250
2,4580,3,4,1989,35.425,24.075,115,80.25,1.475,4.075,7.775,41950,536809.8,510151.9,22.7,90.36,4,13510
2,4280,3,4,1990,35.65,22.9,264.75,84.5,1.175,5.125,6.625,41950,536809.8,510151.9,22.7,90.36,4,13610
2,3880,3,4,1991,35.025,23.925,211,83.25,1.475,4.7,6.4,41950,536809.8,510151.9,22.7,90.36,4,12140
2,4850,3,4,1992,36.075,24.325,99,81.75,1.425,3.675,7.125,41950,536809.8,510151.9,22.7,90.36,4,9890
2,4110,3,4,1993,35.1,22.575,281.25,84,1.425,4.3,7.125,41950,536809.8,510151.9,22.7,90.36,4,11590
2,4000,3,4,1994,35.75,23.75,235.5,80.5,1.075,4.15,6.725,41950,536809.8,510151.9,22.7,90.36,4,13000
2,3780,3,4,1995,36.55,23.975,204.75,78.75,1.1,3.8,6.75,41950,536809.8,510151.9,22.7,90.36,4,11640
2,4500,3,4,1996,35.975,24.075,171.5,82.5,1.625,4.075,6.95,41950,536809.8,510151.9,22.7,90.36,4,13320
2,5130,3,4,1997,35.3,22.825,180.5,83.75,1.425,4.85,6.675,41950,536809.8,510151.9,22.7,90.36,4,14840
2,3210,3,4,1998,35.525,22.675,227.75,81.5,1.5,4.325,6,41950,536809.8,510151.9,22.7,90.36,4,8860
2,3500,3,4,1999,36.75,23.95,123,81.75,1.775,4.375,5.1,41950,536809.8,510151.9,22.7,90.36,4,6130
2,3730,3,4,2000,35.25,23.075,178.25,82.5,1.6,5.025,4.725,41950,536809.8,510151.9,22.7,90.36,4,6190
2,3740,3,4,2001,35.825,22.825,235.75,83.25,1.225,4.6,5.425,41950,536809.8,510151.9,22.7,90.36,4,19180
2,5480,3,4,2002,35.3,23.075,250.5,81,1.4,4.925,6.825,41950,536809.8,510151.9,22.7,90.36,4,19180
2,5670,3,4,2003,35.575,24,206.75,85,1.5,4.85,6.5,41950,536809.8,510151.9,22.7,90.36,4,19330
2,3890,3,4,2004,35.85,24.375,135,80.25,1.525,4.575,6.05,41950,536809.8,510151.9,22.7,90.36,4,10114
2,4260,3,4,2005,36.25,24.8,143.75,83.5,0.975,4.525,7.25,41950,536809.8,510151.9,22.7,90.36,4,13078
2,3900,3,4,2006,36.7,24.275,167.75,82.5,1.175,4.3,6.225,41950,536809.8,510151.9,22.7,90.36,4,12051
2,5785,3,4,2007,35.675,23.55,175,80,1.1,3.75,6.725,41950,536809.8,510151.9,22.7,90.36,4,21694
2,5425,3,4,2008,36.125,24.325,85.25,82,1.2,4.375,6.525,41950,536809.8,510151.9,22.7,90.36,4,18879
2,4926,3,4,2009,36.25,24.7,99.25,79,3.425,3.9,7.4,41950,536809.8,510151.9,22.7,90.36,4,20985
2,9353,3,4,2010,36.375,25.4,176,79.75,3.675,4.875,6.7,41950,536809.8,510151.9,22.7,90.36,4,31520
2,9648,3,4,2011,35.75,23.65,193.25,80.25,2.775,4.275,6.6,41950,536809.8,510151.9,22.7,90.36,4,39846
2,12986,3,4,2012,36.6,24.65,136,80,2.3,4.2,6.375,41950,536809.8,510151.9,22.7,90.36,4,57528
2,13060,3,4,2013,36.475,24.15,261.75,81,2.725,4.475,6.575,41950,536809.8,510151.9,22.7,90.36,4,45579
3,67720,3,4,1969,38.625,22.9,115.75,70.5,1.425,3.6,7.85,41883,435303.7,751187.5,24.88,89.36,20,187375
3,59005,3,4,1970,42.125,23.35,154.75,68.5,1.425,3.55,7.625,41883,435303.7,751187.5,24.88,89.36,20,171955
3,48380,3,4,1971,35.175,22.45,134,71.5,1.45,3.5,7.7,41883,435303.7,751187.5,24.88,89.36,20,111010
3,46925,3,4,1972,39.25,23.15,105.5,65.25,1.425,2.65,8.4,41883,435303.7,751187.5,24.88,89.36,20,119825
