Districts_N,Area,Category_N,Crop_N,Year,Max_Temp,Min_Temp,Rainfall, Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
2,2535,3,5,1979,30.8,15.475,33.25,77.75,0.35,1.2,8.775,41950,536809.8,510151.9,22.7,90.36,4,10022.20252
2,2700,3,5,1980,30.4,15.05,16.75,77,0.45,1.375,8.325,41950,536809.8,510151.9,22.7,90.36,4,10813.6611
2,2760,3,5,1981,30.475,14.8,22.5,75.5,0.35,1.475,8.2,41950,536809.8,510151.9,22.7,90.36,4,11166.4003
2,2450,3,5,1982,30.125,13.85,23,76,0.375,1.4,7.875,41950,536809.8,510151.9,22.7,90.36,4,9818.27517
2,2640,3,5,1983,30.6,14.225,20.75,81.75,0.35,1.725,8.2,41950,536809.8,510151.9,22.7,90.36,4,10620.75685
2,2630,3,5,1984,30.65,14.125,1,82,0.35,1.2,8.125,41950,536809.8,510151.9,22.7,90.36,4,10967.9845
2,2650,3,5,1985,30.875,14.3,3.5,84,0.275,1.3,8.1,41950,536809.8,510151.9,22.7,90.36,4,11111.2848
2,2450,3,5,1986,31.375,15.1,70.5,85,0.2,1.525,8.025,41950,536809.8,510151.9,22.7,90.36,4,9926.30155
2,2405,3,5,1987,30.125,15.35,14.75,81.75,0.2,1.525,7.9,41950,536809.8,510151.9,22.7,90.36,4,9661.74715
2,2288,3,5,1988,29.9,15.075,31.75,81,0.425,1.1,8.2,41950,536809.8,510151.9,22.7,90.36,4,10669.25849
2,2300,3,5,1989,30.525,15,19.75,82.25,0.275,1.35,7.775,41950,536809.8,510151.9,22.7,90.36,4,10714.4532
2,0,3,5,1990,31,15.65,31,82.25,0.275,1.75,7.2,41950,536809.8,510151.9,22.7,90.36,4,0
2,0,3,5,1991,29.35,14.55,43,81.75,0.3,1.65,6.975,41950,536809.8,510151.9,22.7,90.36,4,0
2,0,3,5,1992,30.15,14.725,11,82.75,0.325,1.425,7.2,41950,536809.8,510151.9,22.7,90.36,4,0
2,0,3,5,1993,30.325,14.875,7.25,77.5,0.275,1.1,7.75,41950,536809.8,510151.9,22.7,90.36,4,0
2,0,3,5,1994,30.625,14.075,17.5,75,0.275,1.775,7.05,41950,536809.8,510151.9,22.7,90.36,4,0
2,0,3,5,1995,30.9,15.025,43.25,77,0.275,1.35,7.65,41950,536809.8,510151.9,22.7,90.36,4,0
2,1960,3,5,1996,30.85,14.25,9,80.75,0.25,1.4,7.525,41950,536809.8,510151.9,22.7,90.36,4,6222.53995
