Districts_N,Area,Category_N,Crop_N,Year,Rainfall,Max_Temp,Min_Temp,Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
5,71745,3,4,1975,135.75,35.55,23.3,71,4.175,3.6,6.80454545454546,621445.2,596963.4,23.48,91.19,10,263975
15,82645,2,3,1975,39.3333333333333,36.7333333333333,23.5333333333333,78.3333333333333,0.4,4.23333333333333,5.72,540975.3,737535.8,24.75,90.41,19,73650
7,367967,2,3,2010,268.333333333333,38.9,24.3333333333333,78.3333333333333,1.93333333333333,5.13333333333333,5.83333333333333,365790.2,834718,25.63,88.66,37,553118
7,0,5,3,1993,295,35.8333333333333,22.5666666666667,78,1.23333333333333,4.46666666666667,6.53333333333333,365790.2,834718,25.63,88.66,37,0
21,1200,2,2,2004,393,34.6,25.9,86,1.5,6.25,4.6,426172.9,844822.3,25.72,89.26,34,730
3,74980,2,1,1975,0.333333333333333,29.1666666666667,13.2666666666667,73,0.666666666666667,0.733333333333333,9.6,435303.7,751187.5,24.88,89.36,20,53350
16,13035,3,4,1976,206,32.45,23.425,79.25,1.45,3.8,6.50775862068966,610851.8,524433.6,22.83,91.08,6,35715
18,0,4,2,2001,340,34.45,26.45,88.5,1.85,6.2,4.05,534986.1,472575.7,22.36,90.34,3,0
19,478180,2,1,1993,7.33333333333333,29.4,14.4333333333333,77,0.833333333333333,1.13333333333333,7.56666666666667,353944.9,693386.6,24.35,88.56,20,445560
6,31055,4,3,1980,294.666666666667,36.4333333333333,24.7,77.6666666666667,2.33333333333333,4.5,6.73333333333333,540098.6,629248.4,23.78,90.39,9,30985
1,0,1,1,1999,46.3333333333333,31.4333333333333,17.1666666666667,76.6666666666667,0.566666666666667,1.16666666666667,8.4,684570.9,471415,22.34,91.79,6,0
