Districts_N,Area,Category_N,Crop_N,Year,Max_Temp,Min_Temp,Rainfall, Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
2,165,3,6,1974,29.75,14.7,5,78.25,0.55,1.175,9.625,41950,536809.8,510151.9,22.7,90.36,4,52.91088
2,500,3,6,1975,30.35,13.7,16,74.75,0.325,1.15,8.075,41950,536809.8,510151.9,22.7,90.36,4,232.58741
2,105,3,6,1976,30.525,14.3,23.25,77,0.425,1.2,8.65,41950,536809.8,510151.9,22.7,90.36,4,59.52474
2,190,3,6,1977,30.075,14.625,13.25,74.75,0.25,1.325,8.25,41950,536809.8,510151.9,22.7,90.36,4,117.94717
2,105,3,6,1978,31.5,14.4,4.5,74.75,0.375,0.925,8.575,41950,536809.8,510151.9,22.7,90.36,4,59.52474
2,190,3,6,1979,30.8,15.475,33.25,77.75,0.35,1.2,8.775,41950,536809.8,510151.9,22.7,90.36,4,117.94717
2,5125,3,6,1980,30.4,15.05,16.75,77,0.45,1.375,8.325,41950,536809.8,510151.9,22.7,90.36,4,3069.93335
2,5410,3,6,1981,30.475,14.8,22.5,75.5,0.35,1.475,8.2,41950,536809.8,510151.9,22.7,90.36,4,3091.97955
2,7305,3,6,1982,30.125,13.85,23,76,0.375,1.4,7.875,41950,536809.8,510151.9,22.7,90.36,4,4888.74485
2,4590,3,6,1983,30.6,14.225,20.75,81.75,0.35,1.725,8.2,41950,536809.8,510151.9,22.7,90.36,4,1934.55405
2,7805,3,6,1984,30.65,14.125,1,82,0.35,1.2,8.125,41950,536809.8,510151.9,22.7,90.36,4,4883.2333
2,9755,3,6,1985,30.875,14.3,3.5,84,0.275,1.3,8.1,41950,536809.8,510151.9,22.7,90.36,4,7390.98855
2,11320,3,6,1986,31.375,15.1,70.5,85,0.2,1.525,8.025,41950,536809.8,510151.9,22.7,90.36,4,4354.1245
2,18215,3,6,1987,30.125,15.35,14.75,81.75,0.2,1.525,7.9,41950,536809.8,510151.9,22.7,90.36,4,15255.9704
2,12750,3,6,1988,29.9,15.075,31.75,81,0.425,1.1,8.2,41950,536809.8,510151.9,22.7,90.36,4,9865.6745
2,16830,3,6,1989,30.525,15,19.75,82.25,0.275,1.35,7.775,41950,536809.8,510151.9,22.7,90.36,4,9557.0277
2,9850,3,6,1990,31,15.65,31,82.25,0.275,1.75,7.2,41950,536809.8,510151.9,22.7,90.36,4,5280.0649
2,8860,3,6,1991,29.35,14.55,43,81.75,0.3,1.65,6.975,41950,536809.8,510151.9,22.7,90.36,4,5136.7646
2,11450,3,6,1992,30.15,14.725,11,82.75,0.325,1.425,7.2,41950,536809.8,510151.9,22.7,90.36,4,9237.3578
2,12430,3,6,1993,30.325,14.875,7.25,77.5,0.275,1.1,7.75,41950,536809.8,510151.9,22.7,90.36,4,9501.9122
2,14900,3,6,1994,30.625,14.075,17.5,75,0.275,1.775,7.05,41950,536809.8,510151.9,22.7,90.36,4,12279.7334
2,14380,3,6,1995,30.9,15.025,43.25,77,0.275,1.35,7.65,41950,536809.8,510151.9,22.7,90.36,4,11188.4465
2,15570,3,6,1996,30.85,14.25,9,80.75,0.25,1.4,7.525,41950,536809.8,510151.9,22.7,90.36,4,12445.0799
2,16790,3,6,1997,30.925,14.875,56.25,85.25,0.45,2.125,6.05,41950,536809.8,510151.9,22.7,90.36,4,13448.182
2,27420,3,6,1998,32.45,15.65,67.5,82,0.425,1.075,8.05,41950,536809.8,510151.9,22.7,90.36,4,19566.0025
2,27840,3,6,1999,30.625,14.85,4.75,80.75,0.25,1.675,7.825,41950,536809.8,510151.9,22.7,90.36,4,21186.3982
2,27910,3,6,2000,30.85,14.275,6.75,82.25,0.225,0.75,8.9,41950,536809.8,510151.9,22.7,90.36,4,22839.8632
2,17150,3,6,2001,31.2,15.25,21.5,84.25,0.15,1.575,7.625,41950,536809.8,510151.9,22.7,90.36,4,12720.6574
2,15510,3,6,2002,30.775,15.425,24,81,0.2,1.575,7.925,41950,536809.8,510151.9,22.7,90.36,4,12676.565
2,2054,3,6,2003,31.025,15.25,7,81.5,0.15,1.4,7.25,41950,536809.8,510151.9,22.7,90.36,4,1677.71582
2,2178,3,6,2004,30.85,15.6,2.75,85.25,0.3,0.95,7.65,41950,536809.8,510151.9,22.7,90.36,4,1531.10859
2,1230,3,6,2005,31.8,15.725,0.75,82.5,0.5,1.3,7.95,41950,536809.8,510151.9,22.7,90.36,4,855.39256
