Districts_N,Area,Category_N,Crop_N,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
2,163915,1,1,1979,30.4,15.9333333333333,26,78.6666666666667,0.333333333333333,1.1,8.7,41950,536809.8,510151.9,22.7,90.36,4,67525
2,169130,1,1,1980,29.5,14.8333333333333,8,77.3333333333333,0.433333333333333,1.33333333333333,8.5,41950,536809.8,510151.9,22.7,90.36,4,76485
2,178380,1,1,1981,30.4333333333333,14.3333333333333,11,75.3333333333333,0.366666666666667,1.23333333333333,8.16666666666667,41950,536809.8,510151.9,22.7,90.36,4,75495
2,176380,1,1,1982,29.7,13.6666666666667,17.6666666666667,77,0.3,1.06666666666667,7.93333333333333,41950,536809.8,510151.9,22.7,90.36,4,76655
2,169560,1,1,1983,29.9333333333333,14.5,27.6666666666667,83.3333333333333,0.3,1.7,8.13333333333333,41950,536809.8,510151.9,22.7,90.36,4,76310
2,147240,1,1,1984,30.4,14.0666666666667,0.666666666666667,83.6666666666667,0.266666666666667,1.23333333333333,7.96666666666667,41950,536809.8,510151.9,22.7,90.36,4,69000
2,163135,1,1,1985,30.5,14.1666666666667,4.66666666666667,85,0.266666666666667,1.23333333333333,7.93333333333333,41950,536809.8,510151.9,22.7,90.36,4,76710
2,161940,1,1,1986,30.7333333333333,15.2,93,86.6666666666667,0.2,1.56666666666667,8,41950,536809.8,510151.9,22.7,90.36,4,69325
2,158985,1,1,1987,29.8333333333333,15.2666666666667,12.3333333333333,82.6666666666667,0.166666666666667,1.5,7.9,41950,536809.8,510151.9,22.7,90.36,4,61050
2,127480,1,1,1988,29.3333333333333,14.8666666666667,37.6666666666667,83,0.366666666666667,1.16666666666667,8,41950,536809.8,510151.9,22.7,90.36,4,54955
2,154185,1,1,1989,30.1333333333333,14.2,0,82.6666666666667,0.233333333333333,0.733333333333333,7.96666666666667,41950,536809.8,510151.9,22.7,90.36,4,83410
2,107610,1,1,1990,30.2666666666667,15.3666666666667,36.6666666666667,83,0.2,2,6.9,41950,536809.8,510151.9,22.7,90.36,4,52250
